sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10
public_0011,browsing,B0BXP6MG3X,46,10,feature,B09Z8RQYF7;B075WRHFFW;B000TGPTOC;B005CJJHNK;B008VPRDM4;B00L10BT3A;B07NCS6DTX;B00LUIB2V2;B07FHZ5VGS;B07HC5LL2H,True,0,True,2,1,False,1,False,True,1,1,,B0BXP6MG3X,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0012,browsing,B08FFGQF72,591,10,other,B075D8XQYM;B0732PJQ5X;B08573X2SP;B07F3KVPVB;B00JBIM42E;B007WACQI0;B07FLGPJH9;B07BK3TSVT;B01NGTRY01;B07HH3SYFR,True,0,True,3,1,False,1,False,True,41,10,feature,B07DJ3L5ZJ;B016L2UQ54;B097LD282Q;B075MSD1V9;B07Q2C49SX;B074V57VDW;B07KM97KWH;B07FVFJG6K;B09F91K9M2;B07WQXC1HL,True,0,1,1,,B08FFGQF72,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0013,intent_override,B0C65TFM9F,1,1,,B0C65TFM9F,True,0,True,5,1,False,1,False,True,1,1,,B0C65TFM9F,True,0,1,1,,B0C65TFM9F,True,0,188,10,other,B07RY6MB3X;B07RX5R7RQ;B07S4HXS7V;B07RX5TRPY;B07WN8N9Q7;B079QHR6VF;B07GNJPL1J;B07KFV8QST;B07JJ82JWV;B0814KTWF5,True,1,1,1,,B0C65TFM9F,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0014,browsing,B088QF5G58,51,10,other,B00OUPXZUI;B08LB37S7N;B09SHN6FFF;B07QFWMJFW;B084WRG34B;B07Q9Z7CWR;B07Y8QZPV5;B07CXVKBQB;B00DZJ3FUU;B07HSZ1KX9,True,0,True,2,1,False,1,False,True,1,1,,B088QF5G58,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0015,browsing,B08513YB2T,283,10,feature,B007IDERHO;B07569S1RP;B084H9KZTV;B07D8H91TV;B079331J8C;B07WSZR1JV;B01J99IQIA;B08FD36LT4;B000AS9DAU;B07NJPDSST,True,0,True,2,1,False,1,False,True,1,1,,B08513YB2T,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0016,browsing,B07PH3X7QK,137,10,feature,B07ZV99Q2T;B007JT427C;B07QX8HTT7;B00416VC9M;B00NL6OGWS;B00UV414UA;B07FZ49LDL;B07JCF4RXC;B001FWWP6E;B00OLG411S,True,0,True,2,6,False,17,False,False,17,10,other,B07GH7V8MM;B00V6RQQIQ;B09FSJT676;B09FSLBR32;B09NBN68DD;B07PH3X7QK;B00CZOHFVQ;B00S5E53BO;B00V6P1KOS;B078GDX6PK,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0017,buying,B089RXP8K2,271,10,other,B00HC80QHU;B07L5GYM1G;B07HQCD43X;B07T9PRR8S;B00IK0CKIM;B07HFVBK9Z;B07DKZK2BZ;B01N9F4CUU;B01N21F56Y;B08GPGX2QG,True,0,True,2,2,False,15,False,False,15,10,color,B08GPGX2QG;B089RXP8K2;B000LZ02YS;B017IIU8X0;B01E61BKMA;B07F1WY89W;B0BVFRCTYL;B00CORDTWI;B07KY7TQBP;B004D9CUWU,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0018,buying,B07H3T5YGH,9,9,,B079DNQYCG;B01G92PR4Q;B07DPM8H8B;B07ZYMGXZZ;B07H3T5YGH;B01E283N5O;B072S98CN2;B00VFBI2OE;B088LWDGBF,True,0,True,1,5,False,9,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0019,browsing,B076VQQ962,109,10,other,B07XVPMQHQ;B01B3OIZIK;B009FBD0IO;B003CC1G06;B00V8BIX54;B07STDS4N6;B0BS3JHR2D;B01M2UBNZA;B06XGH7P19;B00YUT7FYG,True,0,True,2,1,False,1,False,True,1,1,,B076VQQ962,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0020,buying,B08P4SSFX4,34,10,other,B000MX0J4W;B013B84TAO;B00LP176Q4;B09JDXB97J;B09VLDBDZK;B09JDNF5Y5;B07QK1FRMR;B07JNG8PBY;B01B3EH51I;B004WLI54Q,True,0,True,2,3,False,6,False,True,6,6,,B077GPKTSP;B07DPDYS59;B08P4SSFX4;B073RTNZKZ;B0773HHV2Q;B074X6Q6GG,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0021,browsing,B07K4FX4WZ,56,10,other,B01LZRUE4Q;B075NXQL2X;B01I0GVE1O;B072MM2CFT;B0BN5YTM3S;B0922434BX;B07V6J4Q2Y;B081YXFRBN;B00JWM6UAQ;B0813V9XCX,True,0,True,2,1,False,1,False,True,1,1,,B07K4FX4WZ,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0022,buying,B08F5G843H,235,10,other,B07CKW7BRZ;B07B4QQNCB;B07B4KJ46X;B00J0834R4;B00H1U841Y;B07RQC8F97;B0B4RLQVBR;B098251TWN;B09L815H4H;B00K2RGE4C,True,0,True,2,1,False,1,False,True,1,1,,B08F5G843H,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0023,intent_override,B08ZKFD4GM,1,1,,B08ZKFD4GM,True,0,True,5,1,False,1,False,True,1,1,,B08ZKFD4GM,True,0,1,1,,B08ZKFD4GM,True,0,63,10,other,B07YZ5J59Y;B09TR7BMGZ;B09B49PSZL;B06ZYQQVFK;B00FGD2WWU;B07HB978LT;B002JCBOMU;B07MYZ5R9M;B01MU7SF2F;B01779Z6M8,True,1,1,1,,B08ZKFD4GM,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0024,buying,B076X3JXMW,19,10,other,B088QZYSHB;B01DTXNCXQ;B06X9B45YB;B00LYO2N0Q;B09XK49V29;B08HR8T7YN;B094D15B1V;B07T4JQD9V;B073H8XM8Z;B072N4KTXN,True,0,True,2,1,False,1,False,True,1,1,,B076X3JXMW,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0025,browsing,B0BRS1DHVQ,58,10,other,B0BRS1DHVQ;B0B3RJYM8C;B09VGZ7THS;B07QQQK84S;B07V368FXD;B088NFV83H;B07SC142GS;B092M8DG3L;B086GRS9LR;B08DNMTZK6,True,0,True,1,1,False,58,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0026,buying,B093R14VP1,23,10,other,B0056EG9MS;B017O307X0;B093R14VP1;B00L1RBQDQ;B00GUTK12M;B00PBFVMOC;B01N2KJN9S;B00YCYG3BU;B00AO3BMPU;B0058WZI20,True,0,True,1,3,False,23,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0027,buying,B0858VDFDW,227,10,other,B016KKZF3U;B091YWTJ8W;B07TS2D23C;B09WTM3QKQ;B00W8AU1KE;B07FGCGHJR;B0C28JK5W6;B01N9R87TM;B08WSXZMCJ;B07VLH9VP2,True,0,True,2,2,False,3,False,True,3,3,,B09WTM3QKQ;B0858VDFDW;B073H78ZW2,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0028,buying,B0B9ZYDDZ1,271,10,other,B00HC80QHU;B07L5GYM1G;B07HQCD43X;B07T9PRR8S;B00IK0CKIM;B07HFVBK9Z;B07DKZK2BZ;B01N9F4CUU;B01N21F56Y;B08GPGX2QG,True,0,False,,,True,74,False,False,74,10,color,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,budget,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,size,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,brand,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0,74,10,,B0CHVZSPZG;B07C1WBP3Q;B07BW7SSDM;B014KPGIG0;B008KWRQ48;B09MFXF6R7;B00X6OGGTG;B008LMNKYW;B00JH4F4V0;B09GKNS3DB,True,0
public_0029,buying,B01IAKCZEK,19,10,other,B01IAKCZEK;B0C496CNQN;B00B8YUBCO;B00GUNRBDA;B07958DVC8;B01IBK0Z96;B07B16X47S;B0967CP9J3;B08C356KK3;B01EVDXTM2,True,0,True,1,1,False,19,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0030,buying,B09V5RTXG9,25,10,other,B07TXN5YR4;B00MUKX302;B07ZZDZMVQ;B09T4SM1VH;B01D90JMUQ;B07BQFRFXH;B0B9919ZCT;B074X7S7GZ;B07P15RSD6;B07P1523QR,True,0,True,2,1,False,1,False,True,1,1,,B09V5RTXG9,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0031,buying,B0BQDTGHMZ,227,10,other,B016KKZF3U;B091YWTJ8W;B07TS2D23C;B09WTM3QKQ;B00W8AU1KE;B07FGCGHJR;B0C28JK5W6;B01N9R87TM;B08WSXZMCJ;B07VLH9VP2,True,0,True,2,1,False,2,False,True,2,2,,B0BQDTGHMZ;B072HKPZD5,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0032,buying,B0834HZQZF,88,10,other,B085FML2HF;B01M0IH5B6;B09PFCZM2H;B08FDPMWHN;B07XLDC9W9;B082MZRMDH;B00NBYFOTE;B088DF8BPZ;B011QIILGO;B09PVNDMP6,True,0,True,2,2,False,4,False,True,4,4,,B01LWNEORC;B0834HZQZF;B085Q6HZ7P;B07BQK1RTD,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0033,browsing,B08134XNNB,342,10,other,B08CY2R861;B09SD4M6CT;B08Y91Y5KL;B08MW535BR;B08M9TL1P6;B08Y6BDWM1;B08Y6CZLD8;B0799GCTY6;B09X4GG71T;B08NDB5LR7,True,0,True,2,1,False,1,False,True,1,1,,B08134XNNB,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0034,intent_override,B07Q9PNNB5,1,1,,B07Q9PNNB5,True,0,True,6,1,False,1,False,True,1,1,,B07Q9PNNB5,True,0,1,1,,B07Q9PNNB5,True,0,406,10,feature,B085L3NL16;B00L0XN350;B08ZXPZT5V;B01N1SJRFN;B0BBWJNL9X;B07KZ9V2GX;B07Q7RY523;B07KKWYWYH;B06XN67LBC;B07TJSNWWX,True,1,169,10,other,B07TJSNWWX;B000BWFV2O;B07PFD9D7M;B0762ZW48C;B07631K8H3;B082775CRF;B071VY9FS7;B07DCJFK54;B01N8XFIF8;B07BDKQQ19,True,1,1,1,,B07Q9PNNB5,True,1,,,,,,,,,,,,,,,,,,,,,,,,
public_0035,boundary,B0BN6CCHB7,342,10,other,B08CY2R861;B09SD4M6CT;B08Y91Y5KL;B08MW535BR;B08M9TL1P6;B08Y6BDWM1;B08Y6CZLD8;B0799GCTY6;B09X4GG71T;B08NDB5LR7,True,0,True,3,4,False,8,False,True,342,10,feature,B08CY2R861;B09SD4M6CT;B08Y91Y5KL;B08MW535BR;B08M9TL1P6;B08Y6BDWM1;B08Y6CZLD8;B0799GCTY6;B09X4GG71T;B08NDB5LR7,True,0,8,8,,B078GGN9SM;B09JLJP8VS;B072ZDR756;B0BN6CCHB7;B00UZ23FRI;B078GTVCS6;B00ITKSNFM;B00ITKT4XM,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0036,browsing,B08BWR1T58,503,10,other,B07T2CQSVF;B082R64TVB;B00MWA61CC;B00GGNVIEM;B00GGNQEKU;B007FNS4X0;B008ND1BLI;B01MA0DBVU;B00K2284JA;B0085162FI,True,0,True,2,1,False,1,False,True,1,1,,B08BWR1T58,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0037,browsing,B08KKBBMMD,28,10,other,B0735X7WXJ;B07TJ9PBKR;B018S73LBQ;B01DC6BKLQ;B07F1PWLPW;B00JOC9KY2;B09K6SNZFP;B01GX4TRKK;B076DKB6PL;B06X1GP1RQ,True,0,True,2,2,False,11,False,False,11,10,feature,B06X1GP1RQ;B08KKBBMMD;B00K87IORG;B00B6EDIAI;B07FNF1X9V;B01FKMGLYQ;B09VLT9C6F;B0B5B4CHZ2;B09VLR3Z3W;B0722JTBDJ,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0038,intent_override,B07B5RGY2N,1,1,,B07B5RGY2N,True,0,True,4,4,False,10,True,True,1,1,,B07B5RGY2N,True,0,1,1,,B07B5RGY2N,True,0,10,10,,B01MQIF3BA;B015GI8LBA;B01MRJUKNX;B07B5RGY2N;B07H61H9BY;B07DL3HTVV;B07FD2MGLT;B002UZXWX0;B07CYVGN39;B01D9ZKRC8,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0039,browsing,B07TZCJW9X,25,10,feature,B008WICX9S;B01CE5HHAY;B088B5V3D5;B08ZCDHW9D;B009GJ6WLM;B00R8KLOWI;B01B02W5EK;B001KJ9CVI;B07BLLMQWR;B06XFVLQPN,True,0,True,2,1,False,2,False,True,2,2,,B07TZCJW9X;B08KXMJSZK,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0040,browsing,B08ZJWTCDR,127,10,other,B07MM3GLSM;B07JF4TV4F;B08BYQPQDT;B07Y8F4JTC;B078K2MVZC;B07G5VQY2X;B074XGM22G;B0014H5JXG;B07W73CSSH;B09SZ8TC1S,True,0,True,2,1,False,3,False,True,3,3,,B08ZJWTCDR;B00O12O126;B0B3GR3N7B,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0041,boundary,B09MSY8926,519,10,other,B071X8Z439;B00W0Y66PC;B00SW7UH7Y;B083FFZNLD;B07TK8QS63;B00FSK2TNI;B00FSK05KW;B07FTBG1FH;B07K2W92ML;B07P1QHFPN,True,0,True,3,1,False,1,False,True,519,10,feature,B071X8Z439;B00W0Y66PC;B00SW7UH7Y;B083FFZNLD;B07TK8QS63;B00FSK2TNI;B00FSK05KW;B07FTBG1FH;B07K2W92ML;B07P1QHFPN,True,0,1,1,,B09MSY8926,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0042,buying,B01LWOGORL,86,10,other,B00YDL3NYW;B00X5KA1OW;B00GJB00X6;B005QH84QO;B07ZL47GXT;B005PK071W;B00AJ2O35C;B000VH36PI;B0159W2YDO;B008NYUJ8S,True,0,True,2,1,False,1,False,True,1,1,,B01LWOGORL,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0043,browsing,B0C1KNGLPX,319,10,other,B073XL21MV;B0998Z45MT;B076XXT4JN;B009S65C7S;B00Y5T5P34;B004CCQXPI;B08VJ2ZG7D;B005YQ2H6U;B007Q07924;B007R9NBLC,True,0,True,2,2,False,2,False,True,2,2,,B078MWZZZ1;B0C1KNGLPX,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0044,buying,B09BQ4G5BD,7,7,,B0C36VHHG5;B09BQ4G5BD;B07QXG5N4C;B0051NQ8XY;B004AGMTMW;B0C1CC4TL5;B09VCNRTK9,True,0,True,1,2,False,7,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0045,buying,B07Z8NTWVV,232,10,other,B076KGZSPS;B08RD6BB4Z;B09HBZPYJB;B07BQYBF12;B07Z8223C3;B08CGWKQ6S;B07Y9M4TRB;B07VTKPKHJ;B08DXV8WR3;B074Z6BT18,True,0,True,2,5,False,5,False,True,5,5,,B07K6MV2DN;B01I24HM92;B0BWD9T482;B0983GVBR4;B07Z8NTWVV,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0046,intent_override,B0B42PVX1F,1,1,,B0B42PVX1F,True,0,True,4,2,False,2,False,True,1,1,,B0B42PVX1F,True,0,1,1,,B0B42PVX1F,True,0,2,2,,B078GDJJH3;B0B42PVX1F,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0047,browsing,B0BYZX7B1L,33,10,other,B08CVKDHGG;B08CXXBDSR;B08JCKLQT8;B071JDX7CX;B07H27XRQQ;B08882QBFT;B07CVFRSYP;B086QZNTPF;B0BYTB43KT;B0BYZX7B1L,True,0,True,1,10,False,33,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
