sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10
public_0011,browsing,B0BXP6MG3X,46,10,other,B000TGPTOC;B00LUIB2V2;B09Z8RQYF7;B07FHZ5VGS;B017HY4YAI;B06ZYBR3GC;B005CJJHNK;B075WRHFFW;B01LWYIHJE;B017HY3OH2,True,0,20,10,feature,B017HY3OH2;B0036UZNBC;B0038A1A0I;B0BXP6MG3X;B0BSS36XCS;B00ZDK3VGC;B07DQSWHWN;B00YBBN9B6;B008U7KRBW;B09TJR8FN9,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,1,1,,B0BXP6MG3X,True,0,True,2,4,False,1,False,True
public_0012,browsing,B08FFGQF72,591,10,other,B0B277VTK9;B00JBIM42E;B097XNM8J8;B0C4G54M7S;B07PRG4HLM;B07MPBTMYL;B074N2DTSX;B085XXRDGR;B07C56GBZD;B0B2DXWVW9,True,0,41,10,feature,B09DSTBLB4;B0BVYL1T2M;B08FFGQF72;B076QLCWCQ;B07BLMTRX7;B08PVJVCT2;B07Q2C49SX;B07KM97KWH;B016L2UQ54;B09BV6T9QM,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,1,1,,B08FFGQF72,True,0,True,2,3,False,1,False,True
public_0013,intent_override,B0C65TFM9F,1,1,,B0C65TFM9F,True,0,1,1,,B0C65TFM9F,True,0,1,1,,B0C65TFM9F,True,0,188,10,other,B08N6VDT2H;B08X2X83DW;B01CE02PWE;B073RVMJ19;B07WN8N9Q7;B08MV1VVKR;B0943ZSRXM;B0912MMSQS;B08D222F93;B09F37LN2L,True,1,1,1,,B0C65TFM9F,True,1,1,1,,B0C65TFM9F,True,1,1,1,,B0C65TFM9F,True,1,1,1,,B0C65TFM9F,True,1,1,1,,B0C65TFM9F,True,1,1,1,,B0C65TFM9F,True,1,True,5,1,False,1,False,True
public_0014,browsing,B088QF5G58,51,10,other,B00CXB156W;B07HSZ1KX9;B0BWFW729N;B07Q9Z7CWR;B00OUPXZUI;B0916CFZRP;B07XCWRCLD;B07QFWMJFW;B088QF5G58;B09SHN6FFF,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,1,1,,B088QF5G58,True,0,True,1,9,False,1,False,True
public_0015,browsing,B08513YB2T,283,10,feature,B081FK41NY;B0BBZ315JR;B09L55P4KN;B0B74XT5PT;B08W49RQTF;B07DKT73WY;B004FM1LL6;B001AZQU9O;B08H5W8CPG;B006W71522,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,1,1,,B08513YB2T,True,0,True,2,1,False,1,False,True
public_0016,browsing,B07PH3X7QK,137,10,other,B07NJKMYDJ;B003HCRNE4;B017S42AY4;B00UV414UA;B07L9QCNFC;B00V6S9ME0;B001FWWP6E;B07589C9TH;B07QX8HTT7;B07YK3TB9Z,True,0,26,10,feature,B07PH3X7QK;B08M68Q4J5;B079MSN9X3;B01KORH54W;B00MOTXUC0;B07XBMLV4H;B098YWJWK5;B017HXTLPW;B00CCYB8XK;B074JMZWN3,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,1,1,,B07PH3X7QK,True,0,True,2,1,False,1,False,True
public_0017,buying,B089RXP8K2,271,10,other,B00KGWWXUW;B07VMHRBLK;B07SQFLSGJ;B00IK0CKIM;B008KWRQ48;B09P4JP44D;B01MRX4KXZ;B08LTQG79Y;B07BW7SSDM;B016QUDKCW,True,0,15,10,color,B01E61BKMA;B08GPGX2QG;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,15,10,size,B01E61BKMA;B08GPGX2QG;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,15,10,budget,B01E61BKMA;B08GPGX2QG;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00CORDTWI;B00T1TORAA;B07F1WY89W,True,0,15,10,brand,B01E61BKMA;B08GPGX2QG;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00CORDTWI;B00T1TORAA;B07F1WY89W,True,0,15,10,,B01E61BKMA;B08GPGX2QG;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00CORDTWI;B00T1TORAA;B07F1WY89W,True,0,15,10,,B08GPGX2QG;B01E61BKMA;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,15,10,,B08GPGX2QG;B01E61BKMA;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,15,10,,B08GPGX2QG;B01E61BKMA;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,15,10,,B08GPGX2QG;B01E61BKMA;B089RXP8K2;B0BVFRCTYL;B000LZ02YS;B09T9VD8ZC;B006UTCYWM;B00T1TORAA;B00CORDTWI;B07F1WY89W,True,0,True,2,3,False,15,False,False
public_0018,buying,B07H3T5YGH,9,9,,B07DPM8H8B;B07ZYMGXZZ;B079DNQYCG;B01G92PR4Q;B072S98CN2;B088LWDGBF;B07H3T5YGH;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B079DNQYCG;B01G92PR4Q;B072S98CN2;B088LWDGBF;B07H3T5YGH;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B079DNQYCG;B01G92PR4Q;B072S98CN2;B088LWDGBF;B07H3T5YGH;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B072S98CN2;B079DNQYCG;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B072S98CN2;B079DNQYCG;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B072S98CN2;B079DNQYCG;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B079DNQYCG;B072S98CN2;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B079DNQYCG;B072S98CN2;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B079DNQYCG;B072S98CN2;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,9,9,,B07DPM8H8B;B07ZYMGXZZ;B01G92PR4Q;B079DNQYCG;B072S98CN2;B07H3T5YGH;B088LWDGBF;B00VFBI2OE;B01E283N5O,True,0,True,1,7,False,9,False,True
public_0019,browsing,B076VQQ962,109,10,other,B0BGQKYNTN;B00HSIGVI2;B000V24Z2Q;B0885YS157;B074Q2T28R;B0041TSHO2;B00PY4XCIO;B000ICUXRU;B01B3OIZIK;B00JUGNRMS,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,1,1,,B076VQQ962,True,0,True,2,1,False,1,False,True
public_0020,buying,B08P4SSFX4,34,10,other,B082VSZ42L;B07BMG8QZW;B000MX0J4W;B09VLDBDZK;B0B784PZNC;B084Y7YLZS;B09JDXB97J;B01M1RJSCO;B01B3EH51I;B0746NPLXK,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B074X6Q6GG;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B074X6Q6GG;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B074X6Q6GG;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,6,6,,B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B074X6Q6GG;B0773HHV2Q,True,0,True,2,4,False,6,False,True
public_0021,browsing,B07K4FX4WZ,56,10,other,B01CHDQ7Y0;B0B1DRYPR7;B06XJS5F5G;B07K4FX4WZ;B07S79DCTH;B09LKK71J2;B077ZL47CK;B079SZH9WN;B0BN5YTM3S;B0922434BX,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,1,1,,B07K4FX4WZ,True,0,True,1,4,False,1,False,True
public_0022,buying,B08F5G843H,235,10,other,B098251TWN;B0192MALEG;B09473JX5T;B0B294RG54;B09V7D7QNY;B08F5G843H;B0899TGVHC;B09L815H4H;B07G4DD1VW;B008FVQR8U,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,1,1,,B08F5G843H,True,0,True,1,6,False,1,False,True
public_0023,intent_override,B08ZKFD4GM,1,1,,B08ZKFD4GM,True,0,1,1,,B08ZKFD4GM,True,0,1,1,,B08ZKFD4GM,True,0,63,10,other,B08ZKFD4GM;B06ZYQQVFK;B07PWZXZVX;B06ZYQRM5K;B0BPCC1KBT;B07B4VZ9DV;B094BGFS5R;B084JG8PK9;B00MAM0N0S;B01779Z6M8,True,1,1,1,,B08ZKFD4GM,True,1,1,1,,B08ZKFD4GM,True,1,1,1,,B08ZKFD4GM,True,1,1,1,,B08ZKFD4GM,True,1,1,1,,B08ZKFD4GM,True,1,1,1,,B08ZKFD4GM,True,1,True,4,1,False,1,False,True
public_0024,buying,B076X3JXMW,19,10,other,B06X9B45YB;B072N4KTXN;B08R17NYW5;B088QZYSHB;B084KCDX92;B07T4JQD9V;B01DTXNCXQ;B07BNZC2X3;B00LYO2N0Q;B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,1,1,,B076X3JXMW,True,0,True,1,10,False,1,False,True
public_0025,browsing,B0BRS1DHVQ,58,10,other,B0BRS1DHVQ;B084ZFGYHN;B09ZJNQ64X;B088NFV83H;B09JZ8V2M3;B0B3RJYM8C;B08YJ8BV6P;B0B5X9T9XB;B0859TL6QX;B088WVRFZS,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,1,1,,B0BRS1DHVQ,True,0,True,1,1,False,1,False,True
public_0026,buying,B093R14VP1,23,10,other,B01N2KJN9S;B00KXDEUQ4;B0056EG9MS;B00ARODBG4;B00E6EMTNC;B093R14VP1;B00AO3BMPU;B0058WZI20;B00L1RBQDQ;B017O307X0,True,0,14,10,color,B093R14VP1;B00BMLXS0U;B016MPXB02;B07CZ862B2;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,14,10,size,B093R14VP1;B00BMLXS0U;B016MPXB02;B07CZ862B2;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,14,10,budget,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B0002M13Q6;B00YCYG3BU;B008JEWBAG,True,0,14,10,brand,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B0002M13Q6;B00YCYG3BU;B008JEWBAG,True,0,14,10,,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B0002M13Q6;B00YCYG3BU;B008JEWBAG,True,0,14,10,,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,14,10,,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,14,10,,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,14,10,,B093R14VP1;B00BMLXS0U;B07CZ862B2;B016MPXB02;B00GUTK12M;B00PBFVMOC;B008JFE84W;B0002M13Q6;B00YCYG3BU;B073K3Z3JM,True,0,True,1,6,False,14,False,False
public_0027,buying,B0858VDFDW,227,10,other,B084P5KDM4;B07WJJDHDP;B097NZFP3L;B0873ZRQH3;B0858VDFDW;B09CZ38XGH;B09WTM3QKQ;B0BVV7BCNX;B00C5KG9DA;B0B7WY3DYM,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,3,3,,B0858VDFDW;B09WTM3QKQ;B073H78ZW2,True,0,True,1,5,False,3,False,True
